Year,StationID,Replicate,SampleDate,Matrix,Parameter,Field1,Qualifier,Result_Units,Result,MDL,RL,Class,latitude,longitude
2013,B13-8002,1,8/5/13,Sediment,Zinc,,,ug/g dw,9.64,0.025,0.050000001,METAL,32.55662,-117.128214
2013,B13-8008,1,8/5/13,Sediment,Zinc,,,ug/g dw,60.09,0.025,0.050000001,METAL,32.558283,-117.120532
2013,B13-8013,1,8/26/13,Sediment,Zinc,,,ug/g dw,288.3,0.025,0.050000001,METAL,32.623601,-117.13346
2013,B13-8014,1,8/26/13,Sediment,Zinc,,,ug/g dw,92.24,0.025,0.050000001,METAL,32.626539,-117.134678
2013,B13-8017,1,8/11/13,Sediment,Zinc,,,ug/g dw,161.12,0.025,0.050000001,METAL,32.631569,-117.13084
2013,B13-8018,1,9/6/13,Sediment,Zinc,,,ug/g dw,36.44,0.025,0.050000001,METAL,32.63417,-117.10733
2013,B13-8020,1,8/11/13,Sediment,Zinc,,,ug/g dw,343.39,0.025,0.050000001,METAL,32.641792,-117.131413
2013,B13-8029,1,8/11/13,Sediment,Zinc,,,ug/g dw,106,0.025,0.050000001,METAL,32.646936,-117.118238
2013,B13-8043,1,8/5/13,Sediment,Zinc,,,ug/g dw,238.63,0.025,0.050000001,METAL,32.65037,-117.105093
2013,B13-8045,1,8/30/13,Sediment,Zinc,,,ug/g dw,163.86,0.025,0.050000001,METAL,32.65155,-117.122464
2013,B13-8052,1,8/27/13,Sediment,Zinc,,,ug/g dw,127.65,0.025,0.050000001,METAL,32.658339,-117.144218
2013,B13-8056,1,8/12/13,Sediment,Zinc,,,ug/g dw,225.64,0.025,0.050000001,METAL,32.660613,-117.12339
2013,B13-8058,1,8/30/13,Sediment,Zinc,,,ug/g dw,105.86,0.025,0.050000001,METAL,32.661471,-117.144097
2013,B13-8060,1,8/27/13,Sediment,Zinc,,,ug/g dw,132.86,0.025,0.050000001,METAL,32.665184,-117.149804
2013,B13-8065,1,8/12/13,Sediment,Zinc,,,ug/g dw,355.42,0.025,0.050000001,METAL,32.671353,-117.119134
2013,B13-8068,1,8/30/13,Sediment,Zinc,,,ug/g dw,70.87,0.025,0.050000001,METAL,32.675472,-117.143841
2013,B13-8073,1,8/9/13,Sediment,Zinc,,,ug/g dw,96.63,0.025,0.050000001,METAL,32.680331,-117.174759
2013,B13-8078,1,8/27/13,Sediment,Zinc,,,ug/g dw,121.38,0.025,0.050000001,METAL,32.686723,-117.148594
2013,B13-8085,1,9/10/13,Sediment,Zinc,,,ug/g dw,156.84,0.025,0.050000001,METAL,32.691687,-117.238244
2013,B13-8087,1,8/9/13,Sediment,Zinc,,,ug/g dw,44.84,0.025,0.050000001,METAL,32.691721,-117.153217
2013,B13-8093,1,8/9/13,Sediment,Zinc,,,ug/g dw,97.37,0.025,0.050000001,METAL,32.695601,-117.162557
2013,B13-8100,1,8/9/13,Sediment,Zinc,,,ug/g dw,238.73,0.025,0.050000001,METAL,32.7024,-117.16178
2013,B13-8102,1,9/10/13,Sediment,Zinc,,,ug/g dw,236.66,0.025,0.050000001,METAL,32.711543,-117.232552
2013,B13-8105,1,9/10/13,Sediment,Zinc,,,ug/g dw,70.08,0.025,0.050000001,METAL,32.712275,-117.213967
2013,B13-8106,1,9/10/13,Sediment,Zinc,,,ug/g dw,133.78,0.025,0.050000001,METAL,32.712329,-117.232133
2013,B13-8109,1,8/28/13,Sediment,Zinc,,,ug/g dw,92.49,0.025,0.050000001,METAL,32.714963,-117.182907
2013,B13-8111,1,9/9/13,Sediment,Zinc,,,ug/g dw,240.1,0.025,0.050000001,METAL,32.716092,-117.173953
2013,B13-8112,1,9/9/13,Sediment,Zinc,,,ug/g dw,132.23,0.025,0.050000001,METAL,32.71619,-117.176237
2013,B13-8113,1,9/10/13,Sediment,Zinc,,,ug/g dw,183.27,0.025,0.050000001,METAL,32.716887,-117.225212
2013,B13-8116,1,9/10/13,Sediment,Zinc,,,ug/g dw,122.57,0.025,0.050000001,METAL,32.718402,-117.2304
2013,B13-8117,1,9/10/13,Sediment,Zinc,,,ug/g dw,257.01,0.025,0.050000001,METAL,32.718569,-117.226112
2013,B13-8118,1,8/28/13,Sediment,Zinc,,,ug/g dw,168.77,0.025,0.050000001,METAL,32.719885,-117.178736
2013,B13-8122,1,8/28/13,Sediment,Zinc,,,ug/g dw,80.93,0.025,0.050000001,METAL,32.724148,-117.182983
2013,B13-8123,1,9/9/13,Sediment,Zinc,,,ug/g dw,95,0.025,0.050000001,METAL,32.725018,-117.183684
2013,B13-8124,1,9/9/13,Sediment,Zinc,,,ug/g dw,106.04,0.025,0.050000001,METAL,32.726301,-117.186644
2013,B13-8127,1,9/9/13,Sediment,Zinc,,,ug/g dw,430.56,0.025,0.050000001,METAL,32.726737,-117.202524
2013,B13-8128,1,9/9/13,Sediment,Zinc,,,ug/g dw,225.9,0.025,0.050000001,METAL,32.727123,-117.191922
